Gen 37 | Best Fitness = 27.308
Gen 38 | Best Fitness = 27.308
Gen 39 | Best Fitness = 27.329
Gen 40 | Best Fitness = 27.363
Gen 41 | Best Fitness = 27.363
Gen 42 | Best Fitness = 27.363
Gen 43 | Best Fitness = 27.369
Gen 44 | Best Fitness = 27.369
Gen 45 | Best Fitness = 27.380
Gen 46 | Best Fitness = 27.488
Gen 47 | Best Fitness = 27.488
Gen 48 | Best Fitness = 27.488
Gen 49 | Best Fitness = 27.488
Gen 50 | Best Fitness = 27.488
Gen 51 | Best Fitness = 27.488
Gen 52 | Best Fitness = 27.528
Gen 53 | Best Fitness = 27.528
Gen 54 | Best Fitness = 27.528
Gen 55 | Best Fitness = 27.528
Gen 56 | Best Fitness = 27.528
Gen 57 | Best Fitness = 27.528
Gen 58 | Best Fitness = 27.556
Gen 59 | Best Fitness = 27.556
Gen 60 | Best Fitness = 27.556
Gen 61 | Best Fitness = 27.556
Gen 62 | Best Fitness = 27.556
Gen 63 | Best Fitness = 27.599
Gen 64 | Best Fitness = 27.609
Gen 65 | Best Fitness = 27.609
Gen 66 | Best Fitness = 27.616
Gen 67 | Best Fitness = 27.632
Gen 68 | Best Fitness = 27.684
Gen 69 | Best Fitness = 27.684
Gen 70 | Best Fitness = 27.689
Gen 71 | Best Fitness = 27.689
Gen 72 | Best Fitness = 27.716
Gen 73 | Best Fitness = 27.810
Gen 74 | Best Fitness = 27.810
Gen 75 | Best Fitness = 27.810
Gen 76 | Best Fitness = 27.810
Gen 77 | Best Fitness = 27.810
Gen 78 | Best Fitness = 27.810
Gen 79 | Best Fitness = 27.810
Gen 80 | Best Fitness = 27.810
Gen 81 | Best Fitness = 27.812
Gen 82 | Best Fitness = 27.869
Gen 83 | Best Fitness = 27.869
Gen 84 | Best Fitness = 27.895
Gen 85 | Best Fitness = 27.895
Gen 86 | Best Fitness = 27.895
Gen 87 | Best Fitness = 27.895
Gen 88 | Best Fitness = 28.032
Gen 89 | Best Fitness = 28.032
Gen 90 | Best Fitness = 28.032
Gen 91 | Best Fitness = 28.040
Gen 92 | Best Fitness = 28.040
Gen 93 | Best Fitness = 28.040
Gen 94 | Best Fitness = 28.107
Gen 95 | Best Fitness = 28.107
Gen 96 | Best Fitness = 28.107
Gen 97 | Best Fitness = 28.107
Gen 98 | Best Fitness = 28.123
Gen 99 | Best Fitness = 28.139
Gen 100 | Best Fitness = 28.139
Gen 101 | Best Fitness = 28.159
Gen 102 | Best Fitness = 28.159
Gen 103 | Best Fitness = 28.159
Gen 104 | Best Fitness = 28.165
Gen 105 | Best Fitness = 28.169
Gen 106 | Best Fitness = 28.169
Gen 107 | Best Fitness = 28.187
Gen 108 | Best Fitness = 28.187
Gen 109 | Best Fitness = 28.187
Gen 110 | Best Fitness = 28.195
Gen 111 | Best Fitness = 28.195
Gen 112 | Best Fitness = 28.200
Gen 113 | Best Fitness = 28.204
Gen 114 | Best Fitness = 28.226
Gen 115 | Best Fitness = 28.226
Gen 116 | Best Fitness = 28.292
Gen 117 | Best Fitness = 28.292
Gen 118 | Best Fitness = 28.292
Gen 119 | Best Fitness = 28.292
Gen 120 | Best Fitness = 28.292
Gen 121 | Best Fitness = 28.431
Gen 122 | Best Fitness = 28.431
Gen 123 | Best Fitness = 28.449
Gen 124 | Best Fitness = 28.449
Gen 125 | Best Fitness = 28.504
Gen 126 | Best Fitness = 28.504
Gen 127 | Best Fitness = 28.515
Gen 128 | Best Fitness = 28.523
Gen 129 | Best Fitness = 28.523
Gen 130 | Best Fitness = 28.565
Gen 131 | Best Fitness = 28.565
Gen 132 | Best Fitness = 28.574
Gen 133 | Best Fitness = 28.580
Gen 134 | Best Fitness = 28.638
Gen 135 | Best Fitness = 28.638
Gen 136 | Best Fitness = 28.638
Gen 137 | Best Fitness = 28.646
Gen 138 | Best Fitness = 28.743
Gen 139 | Best Fitness = 28.743
Gen 140 | Best Fitness = 28.800
Gen 141 | Best Fitness = 28.800
Gen 142 | Best Fitness = 28.800
Gen 143 | Best Fitness = 28.800
Gen 144 | Best Fitness = 28.804
Gen 145 | Best Fitness = 28.804
Gen 146 | Best Fitness = 28.853
Gen 147 | Best Fitness = 28.853
Gen 148 | Best Fitness = 28.925
Gen 149 | Best Fitness = 28.931
Gen 150 | Best Fitness = 28.975
Gen 151 | Best Fitness = 28.975
Gen 152 | Best Fitness = 28.975
Gen 153 | Best Fitness = 28.992
Gen 154 | Best Fitness = 28.992
Gen 155 | Best Fitness = 28.994
Gen 156 | Best Fitness = 29.026
Gen 157 | Best Fitness = 29.026
Gen 158 | Best Fitness = 29.033
Gen 159 | Best Fitness = 29.066
Gen 160 | Best Fitness = 29.066
Gen 161 | Best Fitness = 29.066
Gen 162 | Best Fitness = 29.078
Gen 163 | Best Fitness = 29.081
Gen 164 | Best Fitness = 29.081
Gen 165 | Best Fitness = 29.105
Gen 166 | Best Fitness = 29.105
Gen 167 | Best Fitness = 29.105
Gen 168 | Best Fitness = 29.105
Gen 169 | Best Fitness = 29.105
Gen 170 | Best Fitness = 29.105
Gen 171 | Best Fitness = 29.134
Gen 172 | Best Fitness = 29.158
Gen 173 | Best Fitness = 29.158
Gen 174 | Best Fitness = 29.159
Gen 175 | Best Fitness = 29.159
Gen 176 | Best Fitness = 29.196
Gen 177 | Best Fitness = 29.208
Gen 178 | Best Fitness = 29.208
Gen 179 | Best Fitness = 29.216
Gen 180 | Best Fitness = 29.295
Gen 181 | Best Fitness = 29.295
Gen 182 | Best Fitness = 29.310
Gen 183 | Best Fitness = 29.310
Gen 184 | Best Fitness = 29.310
Gen 185 | Best Fitness = 29.327
Gen 186 | Best Fitness = 29.327
Gen 187 | Best Fitness = 29.351
Gen 188 | Best Fitness = 29.360
Gen 189 | Best Fitness = 29.360
Gen 190 | Best Fitness = 29.360
Gen 191 | Best Fitness = 29.360
Gen 192 | Best Fitness = 29.402
Gen 193 | Best Fitness = 29.402
Gen 194 | Best Fitness = 29.432
Gen 195 | Best Fitness = 29.432
Gen 196 | Best Fitness = 29.432
Gen 197 | Best Fitness = 29.432
Gen 198 | Best Fitness = 29.449
Gen 199 | Best Fitness = 29.449
Gen 200 | Best Fitness = 29.452

======== GA RUN 29 of 50 ========
Gen 1 | Best Fitness = 6.526
Gen 2 | Best Fitness = 6.526
Gen 3 | Best Fitness = 10.999
Gen 4 | Best Fitness = 20.765
Gen 5 | Best Fitness = 20.765
Gen 6 | Best Fitness = 25.465
Gen 7 | Best Fitness = 26.533
Gen 8 | Best Fitness = 26.533
Gen 9 | Best Fitness = 27.411
Gen 10 | Best Fitness = 27.996
Gen 11 | Best Fitness = 27.996
Gen 12 | Best Fitness = 28.733
Gen 13 | Best Fitness = 28.733
Gen 14 | Best Fitness = 28.733
Gen 15 | Best Fitness = 28.913
Gen 16 | Best Fitness = 28.913
Gen 17 | Best Fitness = 28.913
Gen 18 | Best Fitness = 29.191
Gen 19 | Best Fitness = 29.191
Gen 20 | Best Fitness = 29.191
Gen 21 | Best Fitness = 29.444
Gen 22 | Best Fitness = 29.444
Gen 23 | Best Fitness = 29.444
Gen 24 | Best Fitness = 29.444
Gen 25 | Best Fitness = 29.444
Gen 26 | Best Fitness = 29.444
Gen 27 | Best Fitness = 29.490
Gen 28 | Best Fitness = 29.490
Gen 29 | Best Fitness = 29.490
Gen 30 | Best Fitness = 29.490
Gen 31 | Best Fitness = 29.490
Gen 32 | Best Fitness = 29.572
Gen 33 | Best Fitness = 29.599
Gen 34 | Best Fitness = 29.632
Gen 35 | Best Fitness = 29.779
Gen 36 | Best Fitness = 29.779
Gen 37 | Best Fitness = 29.779
Gen 38 | Best Fitness = 29.779
Gen 39 | Best Fitness = 29.779
Gen 40 | Best Fitness = 29.840
Gen 41 | Best Fitness = 29.840
Gen 42 | Best Fitness = 29.840
Gen 43 | Best Fitness = 29.840
Gen 44 | Best Fitness = 29.894
Gen 45 | Best Fitness = 29.894
Gen 46 | Best Fitness = 29.894
Gen 47 | Best Fitness = 29.921
Gen 48 | Best Fitness = 29.980
Gen 49 | Best Fitness = 30.003
Gen 50 | Best Fitness = 30.025
Gen 51 | Best Fitness = 30.175
Gen 52 | Best Fitness = 30.179
Gen 53 | Best Fitness = 30.179
Gen 54 | Best Fitness = 30.179
Gen 55 | Best Fitness = 30.360
Gen 56 | Best Fitness = 30.360
Gen 57 | Best Fitness = 30.360
Gen 58 | Best Fitness = 30.360
Gen 59 | Best Fitness = 30.381
Gen 60 | Best Fitness = 30.392
Gen 61 | Best Fitness = 30.392
